naics_3d,industry_code,industry_name
113,113,Logging
114,114,"Fishing, Hunting and Trapping"
115,115,Support Activities for Agriculture and Forestry
211,211,Oil and gas extraction
212,212,"Mining, except oil and gas"
213,213,Support activities for mining
221,221,Utilities
236,236,Construction of buildings
237,237,Heavy and civil engineering construction
238,238,Specialty trade contractors
311,311,Food manufacturing
312,312,Miscellaneous nondurable goods manufacturing
313,313,Textile mills
314,314,Textile product mills
315,315,Apparel
316,312,Miscellaneous nondurable goods manufacturing
321,321,Wood products
322,322,Paper and paper products
323,323,Printing and related support activities
324,324,Petroleum and coal products
325,325,Chemicals
326,326,Plastics and rubber products
327,327,Nonmetallic mineral products
331,331,Primary metals
332,332,Fabricated metal products
333,333,Machinery
334,334,Computer and electronic products
335,335,Electrical equipment and appliances
336,336,Transportation equipment
337,337,Furniture and related products
339,339,Miscellaneous durable goods manufacturing
423,423,Durable goods
424,424,Nondurable goods
425,425,Electronic markets and agents and brokers
441,441,Motor vehicle and parts dealers
442,442,Furniture and home furnishings stores
443,443,Electronics and appliance stores
444,444,Building material and garden supply stores
445,445,Food and beverage stores
446,446,Health and personal care stores
447,447,Gasoline stations
448,448,Clothing and clothing accessories stores
451,451,"Sporting goods, hobby, book, and music stores"
452,452,General merchandise stores
453,453,Miscellaneous store retailers
454,454,Nonstore retailers
481,481,Air transportation
482,482,Rail transportation
483,483,Water transportation
484,484,Truck transportation
485,485,Transit and ground passenger transportation
486,486,Pipeline transportation
487,487,Scenic and sightseeing transportation
488,488,Support activities for transportation
492,492,Couriers and messengers
493,493,Warehousing and storage
511,511,"Publishing industries, except Internet"
512,512,Motion picture and sound recording industries
515,515,"Broadcasting, except Internet"
517,517,Telecommunications
518,518,"Data processing, hosting and related services"
519,519,Other information services
521,521,"Monetary authorities, Credit intermediation and related activities"
522,521,"Monetary authorities, Credit intermediation and related activities"
523,523,"Securities, commodity contracts, investments, and funds and trusts"
524,524,Insurance carriers and related activities
525,523,"Securities, commodity contracts, investments, and funds and trusts"
531,531,Real estate
532,532,Rental and leasing services
533,533,Lessors of nonfinancial intangible assets
541,541,Professional and technical services
551,551,Management of companies and enterprises
561,561,Administrative and support services
562,562,Waste management and remediation services
611,611,Educational services
621,621,Ambulatory health care services
622,622,Hospitals
623,623,Nursing and residential care facilities
624,624,Social assistance
711,711,Performing arts and spectator sports
712,712,"Museums, historical sites, and similar institutions"
713,713,"Amusements, gambling, and recreation"
721,721,Accommodation
722,722,Food services and drinking places
811,811,Repair and maintenance
812,812,Personal and laundry services
813,813,Membership associations and organizations
