ces_industry,employment
00000000,152544
05000000,129769
06000000,21224
07000000,131320
08000000,108545
10000000,717
10113300,54.5
10210000,662
10211000,157
10212000,189.39999
10212100,50.599998
10212200,40.900002
10212300,97.900002
10213000,315.60001
20000000,7646
20236000,1692.3
20236100,841.70001
20236200,850.59998
20237000,1099.1
20238000,4854.3999
20238001,2127.1001
20238002,2727.3
30000000,12861
31000000,8064
31321000,410.89999
31327000,427
31331000,372.60001
31332000,1486.9
31333000,1112.8
31334000,1098.9
31334100,169.5
31334200,84.699997
31334400,378.60001
31334500,433.29999
31334600,32.799999
31335000,404.70001
31336000,1742.4
31336001,996.5
31337000,385.39999
31339000,622.40002
32000000,4797
32311000,1655.7
32313000,106.5
32314000,111.7
32315000,104.2
32322000,364.20001
32323000,418.70001
32324000,114.8
32325000,850.90002
32326000,747
32329000,323.70001
40000000,27825
41420000,5936.2002
41423000,3218.3
41424000,2184.1001
41425000,533.79999
42000000,15659.4
42441000,2064
42441100,1313
42441200,166.10001
42441300,585
42442000,471.60001
42443000,475.89999
42444000,1303
42445000,3091.3999
42446000,1063.3
42447000,948.90002
42448000,1276.2
42451000,554.20001
42452000,3040.1001
42452200,1074.4
42452300,1965.7
42453000,822.59998
42454000,548.20001
43000000,5681.7002
43481000,510.79999
43482000,158.8
43483000,65.099998
43484000,1529.4
43485000,508.70001
43486000,50.400002
43487000,36.599998
43488000,763.90002
43492000,853.79999
43493000,1204.2
44220000,547.40002
50000000,2898
50511000,769.09998
50512000,456.20001
50515000,261.70001
50517000,706.5
50518000,350.39999
50519000,354.39999
55000000,8850
55520000,6488.8999
55521000,19.200001
55522000,2680.6001
55522100,1789.9
55522110,1396.9
55522200,586
55522300,304.60001
55523000,970.79999
55524000,2818.3
55530000,2361.5
55531000,1752.2
55532000,585.5
55533000,23.799999
60000000,21569
60540000,9717.2998
60541100,1162.6
60541200,1035.6
60541300,1540.3
60541400,145.3
60541500,2257.7
60541600,1565.3
60541700,748.70001
60541800,495.20001
60541900,766.59998
60550000,2447.8
60560000,9404.0996
60561000,8937
60561100,530.90002
60561200,164.39999
60561300,3652.3999
60561320,2944.1001
60561400,869.79999
60561500,221.7
60561600,972.79999
60561700,2179.7
60561900,345.29999
60562000,467.10001
65000000,24591
65610000,3838.1001
65620000,20753.301
65620001,16502.9
65621000,7855.2998
65621100,2723.1001
65621200,977.09998
65621300,987.29999
65621400,980.09998
65621500,289.39999
65621600,1574.1
65621900,324.10001
65622000,5257.8999
65623000,3389.7
65623100,1590.7
65623200,652.90002
65623300,978
65623900,168.10001
65624000,4250.3999
65624100,2697.8999
65624200,187
65624300,325.79999
65624400,1039.7
70000000,16873
70710000,2493.8999
70711000,516.40002
70712000,176.7
70713000,1800.8
70720000,14379.3
70721000,2091.8
70722000,12287.5
80000000,5939
80811000,1376.9
80812000,1536.1
80813000,3026.3
90000000,22775
90910000,2865
90911000,2262.7
90919120,602.40002
90920000,5217
90921611,2506.1001
90922000,2711.2
90930000,14693
90931611,8056.3999
90932000,6636.1001
